No.,n(SMILES),p(SMILES),,,Jsc(mA/cm2),FF,Voc(V),'-HOMO_n(eV),'-LUMO_n(eV),Eg_n(eV),'-HOMO_p(eV),'-LUMO_p(eV),Eg_p(eV),PCE_max(%)
642,O=C(C/1=C\C2=CC(S3)=C(S2)C4=C3C5=CC(C(C6=CC=C(CCCCCC)S6)(C7=CC=C(CCCCCC)S7)C8=C9SC%10=C8SC(/C=C%11/C(C%12=C(C)SC(C)=C%12C%11=O)=C(C#N)\C#N)=C%10)=C9C=C5C4(C%13=CC=C(CCCCCC)S%13)C%14=CC=C(CCCCCC)S%14)C%15=C(C)SC(C)=C%15C1=C(C#N)\C#N,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,17.4,0.65,0.904,5.48,3.9,1.58,5.33,3.53,1.8,10.56
643,CCCCCCC1=CC=C(C2(C3=C(SC(C4=C(SCC(CCCC)CC)C=C(/C=C5/C(C6=C(C5=O)C=C(F)C(F)=C6)=C(C#N)/C#N)S4)=C3)C7=C2C=C8C(SC(C9=C(SCC(CC)CCCC)C=C(/C=C%10/C(C%11=C(C%10=O)C=C(F)C(F)=C%11)=C(C#N)/C#N)S9)=C%12)=C%12C(C(C=C%13)=CC=C%13CCCCCC)(C8=C7)C(C=C%14)=CC=C%14CCCCCC)C(C=C%15)=CC=C%15CCCCCC)C=C1,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,,,16.97,0.58,0.72,5.43,4.08,1.35,5.22,3.64,1.58,7.5
644,CCCCCCC(C=C1)=CC=C1C2(C(C(SC(/C=C3/C(C(C=C4F)=C(C3=O)C=C4F)=C(C#N)\C#N)=C5)=C5S6)=C6C(S7)=C(O2)C8=C7C9=C(S8)C%10=C(C(C%11=CC=C(CCCCCC)C=C%11)(O9)C%12=CC=C(CCCCCC)C=C%12)C(SC(/C=C%13C(C(C=C(F)C(F)=C%14)=C%14C\%13=C(C#N)\C#N)=O)=C%15)=C%15S%10)C%16=CC=C(CCCCCC)C=C%16,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,,,23.45,0.689,0.71,5.46,3.9,1.56,5.23,3.52,1.71,11.47
645,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(SC(C4=C5C6=CC=C(CC(CC)CCCC)S6)=C(C7=CC=C(CC(CCCC)CC)S7)C8=C5SC9=C8C(C%10=C9SC(/C=C%11/C(C(C=C%12F)=C(C%11=O)C=C%12F)=C(C#N)/C#N)=C%10)(C%13=CC=C(CCCCCC)C=C%13)C%14=CC=C(CCCCCC)C=C%14)C%15=C2C=C(/C=C%16C(C(C=C(F)C(F)=C%17)=C%17C\%16=C(C#N)/C#N)=O)S%15,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,,,17.52,0.708,0.746,5.57,3.92,1.65,5.23,3.52,1.71,9.25
646,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,15.6,0.66,1.01,5.5,3.85,1.65,5.48,3.65,1.83,10.3
647,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC(C#CC)=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC(C#CC)=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,16.5,0.67,0.989,5.63,3.9,1.73,5.48,3.65,1.83,10.9
648,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC(C#CC9=CC=CC=C9)=C%10)=C%10C\8=C(C#N)\C#N)=O)=C7)(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C=C4C%13=C2C(SC(/C=C%14C(C(C=CC(C#CC%15=CC=CC=C%15)=C%16)=C%16C\%14=C(C#N)/C#N)=O)=C%17)=C%17S%13,CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,17.5,0.73,0.986,5.69,3.91,1.78,5.48,3.65,1.83,12.6
649,O=C1C2=C(C(/C1=C/C3=CC(C4(CCCCCCCC)CCCCCCCC)=C(C5=C4C=C(C6=C7C=C(C8=C9C=C(C%10=C%11C=C(/C=C%12/C(C%13=C(C%12=O)C=CC=C%13)=C(C#N)/C#N)S%10)C(C%11(CCCCCCCC)CCCCCCCC)=C8)C(C9(CCCCCCCC)CCCCCCCC)=C6)C(C7(CCCCCCCC)CCCCCCCC)=C5)S3)=C(C#N)\C#N)C=CC=C2,CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6)S5,,,10.8,0.54,1.01,5.51,3.77,1.74,5.45,3.65,1.8,5.9
650,O=C1C2=C(C(/C1=C/C3=CC(C4(CCCCCCCC)CCCCCCCC)=C(C5=C4C=C(C6=C7C=C(C8=C9C=C(C%10=C%11C=C(/C=C%12/C(C%13=C(C%12=O)C=C(F)C(F)=C%13)=C(C#N)/C#N)S%10)C(C%11(CCCCCCCC)CCCCCCCC)=C8)C(C9(CCCCCCCC)CCCCCCCC)=C6)C(C7(CCCCCCCC)CCCCCCCC)=C5)S3)=C(C#N)\C#N)C=C(F)C(F)=C2,CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6)S5,,,17.6,0.76,0.98,5.71,3.96,1.75,5.45,3.65,1.8,13.1
651,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C9=CSC=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C%14=CSC=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CCC(CC1=CC=CC=C1C(C2=C3C=C(C)S2)=C4C(SC(C5=CC=C(C6=C7C(C(C8=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C8C7=O)=O)=C(C9=CC=C(C)S9)S6)S5)=C4)=C3C%10=CC=CC=C%10CC(CCCC)CC)CCCC,,,8.43,0.366,1,5.62,3.96,1.66,5.52,3.37,2.15,3.09
652,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C9=CSC=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C%14=CSC=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CCC(CC1=CC(C(C2=C3C=C(C)S2)=C4C(SC(C5=CC=C(C6=C7C(C(C8=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C8C7=O)=O)=C(C9=CC=C(C)S9)S6)S5)=C4)=C3C%10=CC=CC(CC(CCCC)CC)=C%10)=CC=C1)CCCC,,,18.11,0.702,0.96,5.62,3.96,1.66,5.48,3.42,2.06,12.22
653,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C9=CSC=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C%14=CSC=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CCC(CC1=CC=C(C(C2=C3C=C(C)S2)=C4C(SC(C5=CC=C(C6=C7C(C(C8=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C8C7=O)=O)=C(C9=CC=C(C)S9)S6)S5)=C4)=C3C%10=CC=C(CC(CCCC)CC)C=C%10)C=C1)CCCC,,,15.76,0.652,0.91,5.62,3.96,1.66,5.41,3.49,1.92,9.36
654,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=C(CCCCCCCC)C=C(/C=C5S/C(N(C\5=O)CC)=C(C#N)/C#N)S4)=C2)(C6=CC=C(CCCCCC)C=C6)C7=C3C=C(C(C8=C9SC(C%10=C(C=C(/C=C%11S/C(N(C\%11=O)CC)=C(C#N)/C#N)S%10)CCCCCCCC)=C8)(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)C9=C7,CC1=CC(CCCCCC)=C(C)S1,,,5.87,0.56,0.9,5.5,3.59,1.91,5,2.9,2.1,2.64
655,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=C(OCCCCCCCC)C=C(/C=C5S/C(N(C\5=O)CC)=C(C#N)/C#N)S4)=C2)(C6=CC=C(CCCCCC)C=C6)C7=C3C=C(C(C8=C9SC(C%10=C(C=C(/C=C%11S/C(N(C\%11=O)CC)=C(C#N)/C#N)S%10)OCCCCCCCC)=C8)(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)C9=C7,CC1=CC(CCCCCC)=C(C)S1,,,11.5,0.623,0.87,5.37,3.56,1.81,5,2.9,2.1,6.4
656,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=C(OCC(CC)CCCC)C=C(/C=C5C(C(C=C(F)C(F)=C6)=C6C\5=C(C#N)\C#N)=O)S4)=C2)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10SC(C(S%11)=C(C=C%11/C=C%12/C(C(C=C%13F)=C(C%12=O)C=C%13F)=C(C#N)/C#N)OCC(CCCC)CC)=C9)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,CC1=CC(C(S1)=C2C3=CC=C(CC(CC)CCCC)S3)=C(C4=C2C=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=NN(CC(CCCCCC)CCCCCCCC)N=C68)S5)S4)C9=CC=C(CC(CC)CCCC)S9,,,22.27,0.613,0.675,5.44,4.19,1.25,5.21,2.99,2.22,9.21
657,O=C(C(C=C(C=CC=C1)C1=C2)=C2C/3=C(C#N)\C#N)C3=C/C4=CC(C5(C6=CC=C(OCC(CC)CCCC)C=C6)C7=CC=C(OCC(CC)CCCC)C=C7)=C(C8=C5C9=CC(C=CC%10=C%11C(C%12=CC=C(OCC(CC)CCCC)C=C%12)(C%13=CC=C(OCC(CC)CCCC)C=C%13)C%14=C%10SC(/C=C%15C(C(C=C(C=CC=C%16)C%16=C%17)=C%17C\%15=C(C#N)\C#N)=O)=C%14)=C%11C=C9C=C8)S4,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,17.11,0.694,0.919,5.44,3.8,1.64,5.28,3.48,1.8,10.91
658,O=C(C(C=C(Cl)C(Cl)=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(C4(C5=CC=C(OCC(CC)CCCC)C=C5)C6=CC=C(OCC(CC)CCCC)C=C6)=C(C7=C4C8=CC(C=CC9=C%10C(C%11=CC=C(OCC(CC)CCCC)C=C%11)(C%12=CC=C(OCC(CC)CCCC)C=C%12)C%13=C9SC(/C=C%14C(C(C=C(Cl)C(Cl)=C%15)=C%15C\%14=C(C#N)\C#N)=O)=C%13)=C%10C=C8C=C7)S3,CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,19.52,0.755,0.901,5.71,3.89,1.82,5.45,3.65,1.8,13.27
659,S=C(N(C/1=O)CCCCCCCC)SC1=C/C2=CC=C(C3=CC=C(/C=C4SC(N(C\4=O)CCCCCCCC)=S)S3)S2,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,,,14.72,0.59,1.07,5.89,3.64,2.25,5.23,3.19,2.04,9.33
660,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C9=CSC=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C%14=CSC=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,17.6,0.734,0.95,5.62,3.96,1.66,5.5,3.61,1.89,12.3
661,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C9=C(Cl)SC=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C%14=C(Cl)SC=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,20.1,0.741,0.91,5.58,4.01,1.57,5.5,3.61,1.89,13.6
662,CCCCCCC1=CC(C2(C3=CC(CCCCCC)=CC=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=CC(CCCCCC)=C%10)C%11=CC(CCCCCC)=CC=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12)=CC=C1,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,15.09,0.67,0.85,5.21,3.6,1.61,4.89,3.09,1.8,8.54
663,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=C8SC9=C7SC(/C=C%10C(C(C=CC=C%11)=C%11C\%10=C(C#N)\C#N)=O)=C9)(C%12=CC=CC(OCCCCCC)=C%12)C%13=CC(OCCCCCC)=CC=C%13)=C8C=C6C(C%14=CC(OCCCCCC)=CC=C%14)5C%15=CC=CC(OCCCCCC)=C%15,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,15.99,0.7,0.85,5.25,3.65,1.6,4.89,3.09,1.8,9.55
664,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=C8SC9=C7SC(/C=C%10C(C(C=CC=C%11)=C%11C\%10=C(C#N)\C#N)=O)=C9)(C%12=CC=CC(OCC(CC)CCCC)=C%12)C%13=CC(OCC(CC)CCCC)=CC=C%13)=C8C=C6C(C%14=CC(OCC(CC)CCCC)=CC=C%14)5C%15=CC=CC(OCC(CC)CCCC)=C%15,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,15.88,0.68,0.88,5.25,3.63,1.62,4.89,3.09,1.8,9.77
665,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(/C=C4C(C(C=CC=C5)=C5C\4=C(C#N)/C#N)=O)=C2)(C6=CC=C(CCCCCC)C=C6)C7=CC=C8C9=C7C3=CC=C9C(C%10=C8SC(/C=C%11C(C(C=CC=C%12)=C%12C\%11=C(C#N)\C#N)=O)=C%10)(C%13=CC=C(CCCCCC)C=C%13)C%14=CC=C(CCCCCC)C=C%14,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,9.33,0.6,0.974,5.88,3.82,2.06,5.23,3.18,2.05,5.45
666,CCCCCCC(C=C1)=CC=C1C(C2C3SC(/C=C4C(C(C=CC=C5)=C5C\4=C(C#N)/C#N)=O)=C2)(C6=C(C3=CC=C7)C7=C8C9=C6C=CC=C9C%10=C(C(C%11=CC=C(CCCCCC)C=C%11)8C%12=CC=C(CCCCCC)C=C%12)C=C(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)\C#N)=O)S%10)C%15=CC=C(CCCCCC)C=C%15,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,12.27,0.529,0.938,5.73,3.83,1.9,5.23,3.18,2.05,6.09
667,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(/C=C4C(C(C=CC=C5)=C5C\4=C(C#N)/C#N)=O)=C2)(C6=CC=C(CCCCCC)C=C6)C7=CC8=CC=C(C9=C(C%10(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C=C(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)\C#N)=O)S9)C%15=C8C%16=C(C=C%15%10)C=CC3=C7%16,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,17.32,0.666,0.9,5.63,3.85,1.78,5.23,3.18,2.05,10.37
668,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(/C=C4C(C(C=CC=C5)=C5C\4=C(C#N)/C#N)=O)=C2)(C6=CC=C(CCCCCC)C=C6)C7=C(C3=CC=C89)C8=C(C%10=CC=C%11C%12=C(C(C%13=C%11SC(/C=C%14C(C(C=CC=C%15)=C%15C\%14=C(C#N)\C#N)=O)=C%13)(C%16=CC=C(CCCCCC)C=C%16)C%17=CC=C(CCCCCC)C=C%17)C=CC9=C%12%10)C=C7,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,6.43,0.405,0.834,5.31,3.87,1.44,5.23,3.18,2.05,2.17
669,O=C1C2=C(C(/C1=C/C(S3)=CC4=C3C5=CC(C(CCCCCCCCCCCCCCCC)(CCCCCCCCCCCCCCCC)C6=C7SC(/C=C8/C(C9=C(C8=O)C=CC=C9)=C(C#N)/C#N)=C6)=C7C=C5C4(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)=C(C#N)/C#N)C=CC=C2,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,12.7,0.563,0.84,5.85,3.89,1.96,5.33,3.29,2.04,5.67
670,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(CCCCCCCCCCCCCCCC)(CCCCCCCCCCCCCCCC)C7=C8SC9=C7SC(/C=C%10C(C(C=CC=C%11)=C%11C\%10=C(C#N)\C#N)=O)=C9)=C8C=C6C5(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,17.3,0.704,0.919,5.68,3.84,1.84,5.33,3.29,2.04,11.2
671,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(SC(C4=C5C6=CC=C(CC(CC)CCCC)S6)=C(C7=CC=C(CC(CCCC)CC)S7)C8=C5SC9=C8C(C%10=C9SC(/C=C%11/C(C%12=CSC(C)=C%12C%11=O)=C(C#N)/C#N)=C%10)(C%13=CC=C(CCCCCC)C=C%13)C%14=CC=C(CCCCCC)C=C%14)C%15=C2C=C(/C=C%16C(C%17=C(C)SC=C%17C\%16=C(C#N)/C#N)=O)S%15,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,19.52,0.747,0.904,5.59,3.86,1.73,5.27,3.08,2.19,13.18
672,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(SC(C4=C5OCC(CC)CCCC)=C(OCC(CCCC)CC)C6=C5SC7=C6C(C8=C7SC(/C=C9/C(C%10=CSC(C)=C%10C9=O)=C(C#N)/C#N)=C8)(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C%13=C2C=C(/C=C%14C(C%15=C(C)SC=C%15C\%14=C(C#N)/C#N)=O)S%13,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,18.6,0.684,0.862,5.42,3.94,1.48,5.27,3.08,2.19,10.96
673,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,15.2,0.67,0.861,5.54,3.84,1.7,5.33,3.53,1.8,9.22
674,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C%10=CC(F)=CC(F)=C%10)=O)=C7)(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C=C4C%13=C2C(SC(/C=C%14C(C(C=CC=C%15)=C%15C\%14=C(C%16=CC(F)=CC(F)=C%16)/C#N)=O)=C%17)=C%17S%13,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,7.78,0.382,0.958,5.6,3.78,1.82,5.33,3.53,1.8,2.85
